lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.08,-34.906621621621625,-85.81283956275234,-80.56081389913825,-42.00387782632485,-80.56081324281206,-88.75690484753636,-86.93760554390784
-8.08,-34.906396396396396,-85.67333525533093,-80.3126022472405,-42.36367898222582,-80.31260158105246,-88.64151716304522,-86.8343457053277
-8.08,-34.906171171171174,-85.53347108335501,-80.06064203370161,-42.759478585127056,-80.06064135740232,-88.52584440229151,-86.73160301982165
-8.08,-34.905945945945945,-85.3932782119951,-79.80483952678057,-43.185679982192866,-79.80483884011377,-88.40990222113075,-86.62942028007461
-8.08,-34.90572072072072,-85.25278996819378,-79.54509892988668,-43.636939533775205,-79.54509823260486,-88.29370721096458,-86.52784164450168
-8.08,-34.90549549549549,-85.11204194531666,-79.2813224957435,-44.10829082814571,-79.28132178757647,-88.17727693772022,-86.4269126409632
-8.08,-34.905270270270265,-84.97107211061706,-79.0134106775601,-44.595221542245696,-79.01340995823833,-88.06062998198004,-86.32668016695104
-8.08,-34.905045045045036,-84.82992091515104,-78.74126232387925,-45.09371040979424,-78.74126159314253,-87.94378597997266,-86.22719248569345
-8.08,-34.90481981981981,-84.68863140605217,-78.46477492548246,-45.60023313916159,-78.4647741830511,-87.8267656656308,-86.12849921811525
-8.08,-34.90459459459459,-84.54724934062332,-78.18384492374346,-46.11174597747549,-78.18384416933472,-87.70959091344932,-86.03065133012123
-8.08,-34.90436936936938,-84.4058233020009,-77.89836809184575,-46.625654562896145,-77.8983673251783,-87.59228478220888,-85.93370111495727
-8.08,-34.90414414414414,-84.26440481587642,-77.60824000186582,-47.139774252787305,-77.60823922267411,-87.47487155943858,-85.83770217032503
-8.08,-34.90391891891892,-84.12304846773634,-77.31335659359962,-47.652286610281095,-77.31335580160322,-87.35737680657698,-85.74270936991672
-8.08,-34.90369369369369,-83.98181201993614,-77.01361486267194,-48.16169537170799,-77.013614057594,-87.23982740460562,-85.64877882895209
-8.08,-34.90346846846847,-83.84075652800473,-76.70891369000515,-48.666784094245656,-76.7089128715588,-87.12225160020523,-85.55596786353644
-8.08,-34.90324324324324,-83.6999464552716,-76.3991548367965,-49.16657681565688,-76.39915400477821,-87.00467905215987,-85.46433494342409
