lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.08,-34.89963963963964,-67.05575889905795,-34.99550420492047,-65.93368351925297,-73.03746084202206,-77.16423082178385,-81.57900056494445
-8.08,-34.89941441441441,-67.05612603800736,-34.99065112383017,-65.93482082412955,-73.03463170124132,-77.16399267440708,-81.57944808133841
-8.08,-34.899189189189194,-67.20625886036484,-31.658523230474824,-65.35840419591986,-70.43952575196542,-76.86428093456979,-81.51993078390068
-8.08,-34.898963963963965,-66.7616324328755,-29.796655670266965,-64.82841760132422,-69.66325975011561,-75.5796391589308,-82.3032598907054
-8.08,-34.898738738738736,-65.40566188283118,-27.75399874667718,-62.31011052914698,-68.10328563209204,-75.24922244941541,-81.62155694374583
-8.08,-34.898513513513514,-65.406055362836,-27.75383516380859,-62.30995965986932,-68.1029058699165,-75.249507155373,-81.62140046405314
-8.08,-34.898288288288285,-66.04255384889416,-26.25212899404785,-63.470229771052715,-66.71962751524485,-75.14824638463074,-80.99158846744685
-8.08,-34.898063063063056,-65.21236162599138,-25.25885051431363,-64.31985591905489,-65.57991063567341,-72.85729066104238,-80.58023454612965
-8.08,-34.897837837837834,-65.2060688628501,-25.24985939205106,-64.33362593621574,-65.57678236405347,-72.84331356864541,-80.57940982306802
-8.08,-34.89761261261261,-63.88776694201425,-26.83198042189946,-69.1916318611301,-64.7175501643279,-71.31963140167505,-78.68502597852607
-8.08,-34.89738738738738,-63.216471068436334,-27.24748362150054,-69.7612218480174,-64.5326716125108,-73.21572379253787,-79.35918401363051
-8.08,-34.89716216216216,-63.492973391192095,-26.19395623986059,-71.16348320991794,-64.1155730444389,-74.00992295827348,-80.34759776627453
-8.08,-34.89693693693693,-61.593206150116636,-26.675279187945343,-74.09845164717377,-63.71961414303627,-73.62779177424378,-80.20943578168549
-8.08,-34.89671171171171,-62.28102039985496,-26.5920746332453,-74.3470305036638,-63.70216370552042,-73.52200849882995,-80.8457945496517
-8.08,-34.89648648648648,-62.61538945493054,-27.48678681680424,-75.34103723771622,-63.970997242894214,-75.61255062962964,-83.19631902308588
-8.08,-34.896261261261266,-62.74233768335613,-30.980916532598478,-75.41259397226948,-64.33522088319108,-73.50784835141624,-84.24597640285177
-8.08,-34.89603603603604,-62.74220203855818,-30.992377822132582,-75.40829141761347,-64.33310580899489,-73.50269926018811,-84.2511743474186
-8.08,-34.89581081081081,-62.72821354482326,-35.71891673708724,-74.74611748472584,-63.73872674456498,-72.49615001104168,-84.57444917458695
-8.08,-34.895585585585586,-61.693233137586525,-40.541446433946795,-73.02629950954649,-62.82262017734424,-70.97437089708042,-83.93145747519813
-8.08,-34.89536036036036,-60.84449008766039,-43.183674529432814,-71.01042285965289,-61.324260717379445,-71.75318406511526,-84.2529399033384
-8.08,-34.89513513513513,-62.96002632561317,-42.809007317828595,-74.12472064107968,-60.81211826277343,-74.04672143895945,-82.8251537313689
-8.08,-34.894909909909906,-61.619599120256225,-41.88942505868311,-76.2982150302605,-59.392198782897765,-74.17325138075907,-81.86704310072854
-8.08,-34.894684684684684,-61.61877049818053,-41.888356648082265,-76.2982626644699,-59.39175785787136,-74.17317330254829,-81.86677733573201
-8.08,-34.89445945945945,-59.95203196985402,-39.555035481803415,-76.4815658002429,-57.891963738624874,-73.63000094428487,-81.13349333405021
-8.08,-34.894234234234226,-59.951485119978415,-39.55462970883028,-76.48162081614005,-57.89151533508597,-73.6300126859047,-81.13318476689837
-8.08,-34.894009009009004,-59.42467960150731,-38.68814094796579,-76.02851243446345,-56.3384897561204,-73.80996193657803,-81.06638520891427
-8.08,-34.89378378378378,-61.29811928730924,-51.235999144624074,-69.89223081133449,-53.103736693314104,-73.10609688169235,-81.53070419278103
-8.08,-34.89355855855855,-61.150102935169556,-52.12900783303862,-72.46579660083393,-50.50212867757466,-73.16939718796837,-82.27616346106925
-8.08,-34.89333333333333,-61.48148326261202,-49.58938008698871,-72.02493574243866,-50.781678365418344,-69.89047875779595,-82.31647760600497
-8.08,-34.89310810810811,-60.256298502624695,-53.45456233820261,-70.29106586553593,-51.24819173058832,-68.48156198631749,-81.90594434188385
-8.08,-34.89288288288288,-57.5366042239392,-59.04061132979892,-67.61532776401182,-52.007310491758176,-68.30654961963876,-82.25974334661748
-8.08,-34.89265765765766,-57.96910318385514,-64.63267333857283,-69.22935106242026,-52.43427045997993,-69.2606810045772,-81.94027694156851
-8.08,-34.89243243243243,-60.248344223920796,-66.63088408238325,-71.30840218460621,-49.47587850581011,-67.87455887841892,-81.80236724848817
-8.08,-34.892207207207214,-60.564947923600826,-67.49668250029221,-70.80900436963026,-49.97256262648632,-67.09657236327767,-83.32811015786473
-8.08,-34.89198198198198,-61.35557456235967,-66.82960978402632,-71.09507809723067,-50.09950371854812,-66.79719320248724,-82.42770287505952
-8.08,-34.89175675675676,-61.358063676808555,-66.8266193985521,-71.0955172481509,-50.09758326192668,-66.79384768107936,-82.42784754404485
-8.08,-34.89153153153153,-61.36035240118599,-66.82379981435956,-71.09594373907075,-50.095835820076836,-66.79072749252957,-82.4279123885058
-8.08,-34.891306306306305,-61.20872807034501,-66.77481839748252,-70.61251275019613,-49.83236703991405,-65.4724181086395,-81.4940939476906
-8.08,-34.89108108108108,-63.28602516560176,-68.9397217777221,-72.66730235029975,-51.012292577778055,-66.10488060159645,-83.32336390263515
-8.08,-34.890855855855854,-58.88734057743305,-68.84600359432672,-72.52030182348004,-44.510406076100814,-67.89672534248925,-80.76995006703706
-8.08,-34.890630630630625,-58.92030310714617,-68.0800209229984,-74.17981006577742,-42.26010223591132,-67.0467217066099,-81.6261456746863
-8.08,-34.890405405405396,-60.00632894507004,-70.43314073886843,-73.90022892568021,-42.26647170597169,-67.98645341586048,-84.0537195933467
-8.08,-34.89018018018018,-61.893813790718674,-69.66006345100122,-73.65984465653638,-42.79319600832871,-72.70024883572985,-81.87348022285518
-8.08,-34.88995495495495,-62.512671112391445,-69.16972308466009,-73.05004233258398,-42.70346269649891,-70.21644556138091,-85.68606337327206
-8.08,-34.88972972972973,-65.0934681535078,-69.37610354609876,-72.27038197267191,-43.469706277311694,-68.4765181112106,-89.28656189789488
-8.08,-34.8895045045045,-63.80993981060588,-67.54010661579078,-73.51361158080807,-43.86959972659416,-71.59308313058668,-90.68984919106802
-8.08,-34.88927927927928,-64.55335304111713,-69.52630547591532,-74.16669291725367,-43.0198983476857,-74.70681803680891,-90.64002496808257
-8.08,-34.88905405405405,-60.21196159982862,-70.76370879892751,-74.44329101151753,-43.30535259360021,-73.27119917648156,-91.07659965114087
-8.08,-34.88882882882883,-57.49800491573602,-70.39770531704609,-75.86946179690463,-43.65863718072031,-74.56933518231479,-92.136637002806
-8.08,-34.8886036036036,-57.04309169947519,-71.84388847108244,-75.57128586305704,-45.812938504334554,-72.7183198692711,-92.8566233861683
-8.08,-34.88837837837838,-57.043305274721426,-71.84387180949233,-75.57150523486591,-45.81357932732761,-72.7181368210082,-92.85683323626039
-8.08,-34.88815315315315,-57.34999028140306,-70.88428971246245,-75.89152337398615,-45.93407912991511,-73.48430782101948,-93.41008275149339
-8.08,-34.887927927927926,-57.13685124642759,-71.603593247308,-76.6776030478207,-47.69296353036473,-73.57089510251424,-92.56419483845704
-8.08,-34.887702702702704,-57.13673410051815,-71.60317623696808,-76.67790236812348,-47.69308539571824,-73.571134737895,-92.56412780858632
-8.08,-34.887477477477475,-57.13662412853882,-71.60278576625079,-76.6781839204148,-47.69319997413324,-73.57136098800218,-92.5640629079287
-8.08,-34.88725225225225,-57.52302381260363,-70.97640534567735,-76.44487201959492,-47.05323377332295,-73.33170528593301,-91.73123362542248
-8.08,-34.887027027027024,-57.52310052020224,-70.97627400369889,-76.44458300495917,-47.05261338910502,-73.3318344280931,-91.73107109303841
-8.08,-34.8868018018018,-57.523172546828555,-70.97615294755106,-76.44431516623168,-47.05203829312479,-73.33195392309591,-91.73091728916494
-8.08,-34.88657657657657,-57.5232398517226,-70.97604195954457,-76.4440682216686,-47.05150787041905,-73.33206394030435,-91.73077240489943
-8.08,-34.88635135135135,-57.52330246560942,-70.97594071318412,-76.44384163949702,-47.0510209740295,-73.33216475631133,-91.73063648138043
-8.08,-34.88612612612612,-55.746086544804385,-69.85090656680752,-75.87117358313661,-45.27995932001772,-73.22574582249372,-91.53081736161229
-8.08,-34.8859009009009,-55.74613515788376,-69.85080673953328,-75.87090818265388,-45.27955937082523,-73.22573054769208,-91.53071955264772
-8.08,-34.88567567567567,-55.02690190004541,-70.00372725764704,-75.95711379576647,-45.95815425751928,-72.78619692107503,-90.33213974519138
-8.08,-34.88545045045045,-55.0265588153465,-70.00352784724075,-75.95678488166868,-45.957761911853815,-72.78599630009748,-90.33178002774444
-8.08,-34.88522522522522,-55.02623667157213,-70.00334383880232,-75.95648489087425,-45.95740484725337,-72.78580957991826,-90.33144537486636
-8.079855072463769,-34.91,-66.46652371677497,-52.96696462688116,-68.9932067698245,-77.21344803621746,-79.93331235726198,-84.5332980039666
-8.079855072463769,-34.90977477477477,-66.46648606533817,-52.966915584459976,-68.99328242347426,-77.21346317281005,-79.93324524306887,-84.5332246521858
-8.079855072463769,-34.909549549549546,-66.46644542472623,-52.96686217470055,-68.9933644805823,-77.2134794562333,-79.93317257655113,-84.53314523815737
-8.079855072463769,-34.909324324324324,-64.27343109049512,-53.65996026144095,-68.83673970046583,-76.9901533735078,-78.51004194249526,-83.92983750646182
-8.079855072463769,-34.90909909909909,-64.2733763604087,-53.65981353660114,-68.83673551963435,-76.99010666587323,-78.5100149400314,-83.92975846128839
-8.079855072463769,-34.90887387387387,-64.27331670862719,-53.6596539449778,-68.83673088850655,-76.99005568256601,-78.50998551762422,-83.92967263867939
-8.079855072463769,-34.908648648648644,-64.27325165518776,-53.659480245004474,-68.836725759736,-76.99000000369274,-78.50995343982748,-83.92957939113644
-8.079855072463769,-34.90842342342342,-64.27318066661259,-53.65929105777761,-68.83672008035677,-76.98993916231491,-78.50991844501546,-83.92947800009225
-8.079855072463769,-34.90819819819819,-64.61966320605052,-52.10631384646375,-68.82337683265366,-76.55669740896941,-77.58354487277644,-83.46955048631935
-8.079855072463769,-34.90797297297297,-64.49314346040804,-51.612938819288985,-67.49045889033322,-76.25008189402965,-77.21025787148497,-83.60286737049252
-8.079855072463769,-34.907747747747734,-64.25332580848055,-50.68660669686839,-68.44337960790666,-77.42301405732168,-77.4100950601233,-83.7162985876677
-8.079855072463769,-34.90752252252252,-64.25336166270695,-50.68666095663814,-68.4433061841608,-77.42328385562621,-77.40999115293778,-83.71659591069995
-8.079855072463769,-34.90729729729728,-65.23330584592064,-52.75660593783659,-67.9266408929735,-78.38672746440609,-77.09664757088771,-83.30342186843114
-8.079855072463769,-34.90707207207207,-64.81993937712124,-53.52333603254433,-66.40679057951861,-78.87336667387383,-77.74994101661477,-82.77671758028633
-8.079855072463769,-34.906846846846854,-64.81997120669651,-53.52337728071035,-66.40663564030709,-78.87330122956921,-77.74993289721876,-82.77666843741004
-8.079855072463769,-34.906621621621625,-64.8200066717762,-53.52342309506162,-66.40646325839342,-78.87322847423295,-77.74992398089873,-82.77661376509671
-8.079855072463769,-34.906396396396396,-64.82004621698417,-53.52347402620747,-66.40627130515874,-78.87314752272883,-77.7499141768042,-82.77655289290972
-8.079855072463769,-34.906171171171174,-67.82665328549902,-54.683431412722534,-67.03289714409848,-78.29333838809985,-77.26318277727164,-81.85681104540377
-8.079855072463769,-34.905945945945945,-67.8678743769602,-53.290669114105306,-66.1667826390085,-78.5534076482759,-76.86307125694762,-82.3033170038813
-8.079855072463769,-34.90572072072072,-67.86908331353861,-53.2896311781615,-66.16660671393231,-78.55368458061113,-76.86299643999081,-82.30313282091977
-8.079855072463769,-34.90549549549549,-67.87044304922117,-53.288458326726825,-66.16640798575281,-78.55399669842575,-76.86291284446294,-82.30292512775836
-8.079855072463769,-34.905270270270265,-68.10960348512613,-49.32379285908493,-64.663740646737,-77.43006266131832,-77.03479510368639,-81.44673487484191
-8.079855072463769,-34.905045045045036,-68.11083627206219,-49.320710848292286,-64.66439550647851,-77.42974410019984,-77.03528682614073,-81.44611961598508
-8.079855072463769,-34.90481981981981,-68.71030660977684,-44.99085327349378,-65.91121515438574,-76.30291945571871,-76.46761421038954,-81.80429969669974
-8.079855072463769,-34.90459459459459,-68.71046820164507,-44.98753841955793,-65.91245031862758,-76.30216101830068,-76.46719697360474,-81.80402275080233
-8.079855072463769,-34.90436936936938,-68.71063325321961,-44.98371354664704,-65.91386423927318,-76.30127693397488,-76.46671168971292,-81.8037127406753
-8.079855072463769,-34.90414414414414,-69.17284432438643,-40.804136576906096,-67.20908523801171,-74.85211275043852,-76.63210425840654,-81.9161212504707
-8.079855072463769,-34.90391891891892,-69.17185169510326,-40.802616173385566,-67.20847083326458,-74.85185000573796,-76.63232881959428,-81.91597932788284
-8.079855072463769,-34.90369369369369,-69.17068625802399,-40.80076480160881,-67.20777375110247,-74.85150241726538,-76.63258805283739,-81.91582992312577
-8.079855072463769,-34.90346846846847,-69.16931790253705,-40.79851976401697,-67.20698144273753,-74.85105222691645,-76.63288765017974,-81.91567303028481
-8.079855072463769,-34.90324324324324,-69.16771116113368,-40.79580635454043,-67.20607944548362,-74.85047801033052,-76.63323425399955,-81.91550886100079
-8.079855072463769,-34.903018018018024,-69.16582442235942,-40.79253583069536,-67.2050512004723,-74.84975398149348,-76.63363557683778,-81.91533794359046
-8.079855072463769,-34.90279279279279,-69.16360917497944,-40.78860330730266,-67.20387793722134,-74.84884923047842,-76.63410050450993,-81.91516125870547
-8.079855072463769,-34.90256756756757,-69.16100940664106,-40.78388578464803,-67.2025386929019,-74.84772694094772,-76.63463915589269,-81.91498042277232
-8.079855072463769,-34.90234234234234,-69.15796136760588,-40.77824069948629,-67.20101057277265,-74.84634368189722,-76.63526285587376,-81.91479793211724
